Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
"Depto Estilo Mariposa, Metro Santa Ana 1estacionamiento",$450.000,2 dormitorios,2 baños,50 m² útiles,"San Martín 733, Centro Histórico D..."
Amplio Departamento Frente Al Metro Bellas Artes,$700.000,3 dormitorios,2 baños,58 m² útiles,"Monjitas 300 - 600, Centro Históri..."
,$300.000,1 dormitorio,1 baño,40 m² útiles,"Huerfanos/san Martin, Centro Histó..."
2 Dormitorios 1 Baño Una Cuadra Metro Santa Ana,$310.000,2 dormitorios,1 baño,45 m² útiles,"Mario Kreusberger  1558, Centro Hi..."
Dpto Con Terraza - A 2 Cuadras Del Metro,$290.000,1 dormitorio,1 baño,32 m² útiles,"Nueva Compañía 1429, Centro Histór..."
Precioso Depto 1d1b Terraza Metro Santa Ana,$290.000,1 dormitorio,1 baño,40 m² útiles,"Morandé 617, Santiago, Centro Hist..."
Se Arrienda Oficina Recien Remodelada,UF6,1 dormitorio,1 baño,22 m² útiles,"Agustinas 853, Centro Histórico De..."
Depto 3 Hab - Estaci. Opcional Metro Santa Ana Y Cal Y Canto,$580.000,3 dormitorios,2 baños,64 m² útiles,"San Martín 600 - 900, Centro Histó..."
2 Dormitorios Con La Mejor Ubicación,$520.000,2 dormitorios,2 baños,51 m² útiles,"Santo Domingo 1243, Centro Históri..."
Impecable Como Nuevo 2 Domitorios Vista Espectacular,$700.000,2 dormitorios,2 baños,75 m² útiles,"Catedral 1330, Centro Histórico De..."
Departamento Amoblado En Miraflores,$350.000,1 dormitorio,1 baño,36 m² útiles,"Miraflores 455, Centro Histórico D..."
Departamento En Arriendo De 1 Dorm. En Santiago,$300.000,1 dormitorio,1 baño,35 m² útiles,"A Pasos Del Metro Plaza De Armas, ..."
Lindo Departamento 28 M2 En Barrio Bellas Artes,$350.000,1 dormitorio,1 baño,28 m² útiles,"Santo Domingo 708, Centro Históric..."
Amplio Y Luminoso Con Estacionamiento Y Bodega,$650.000,2 dormitorios,2 baños,72 m² útiles,"Santo Domingo 1200 - 1500, Centro ..."
Arriendo Depto. Metro Santa Ana Santiago Centro,$400.000,2 dormitorios,2 baños,70 m² útiles,"San Martín 300 - 600, Centro Histó..."
Impecable Depto. 2d+2b En Barrio Bellas Artes,$500.000,2 dormitorios,2 baños,53 m² útiles,"Monjitas 744, Centro Histórico De ..."
Lindo Departamento En Barrio Lastarria,$400.000,1 dormitorio,1 baño,35 m² útiles,"José Miguel De La Barra 438, Centr..."
Departamento Con 2 Grandes Dormitorios,$780.000,2 dormitorios,2 baños,98 m² útiles,"Mosqueto 600 - 900, Centro Históri..."
Departamento 2d  Condominio A Dos Cuadras Del Metro L5 Y L2,$350.000,2 dormitorios,1 baño,47 m² útiles,"Mario Kreutzberger 1520, Santiago,..."
Dueño Arriendo Impecable Departamento,$280.000,1 dormitorio,1 baño,37 m² útiles,"Santo Domingo 736, Centro Históric..."
Amplio Departamento Antiguo En El Centro Cívico,$650.000,3 dormitorios,1 baño,90 m² útiles,"Valentín Letelier 1200 - 1500, Cen..."
Mejor Ubicación Metro Moneda,$340.000,1 dormitorio,1 baño,33 m² útiles,"Moneda 1500, Centro Histórico De S..."
"1d 1b Al Lado Del Metro, Parque Forestal Y Comisaria",$310.000,1 dormitorio,1 baño,40 m² útiles,"Santo Domingo 376, Centro Históric..."
Departamento Santo Domingo Id: 74442,$390.000,1 dormitorio,1 baño,34 m² útiles,"Santo Domingo, Centro Histórico De..."
Departamento Catedral Id: 142627,$290.000,1 dormitorio,1 baño,25 m² útiles,"Catedral, Centro Histórico De Sant..."
Departamento General Mackenna Id: 110847,$320.000,1 dormitorio,1 baño,32 m² útiles,"General Mackenna, Centro Histórico..."
Departamento Avenida Mapocho Id: 142568,$550.000,2 dormitorios,2 baños,80 m² útiles,"Avenida Mapocho, Centro Histórico ..."
Departamento San Martín Id: 115377,$450.000,3 dormitorios,2 baños,63 m² útiles,"San Martín, Centro Histórico De Sa..."
Departamento San Martín Id: 142684,$700.000,3 dormitorios,2 baños,72 m² útiles,"San Martín, Centro Histórico De Sa..."
Departamento San Martín Id: 141091,$368.000,2 dormitorios,1 baño,46 m² útiles,"San Martín, Centro Histórico De Sa..."
Departamento Avenida Manuel Rodríguez Id: 117153,$340.000,2 dormitorios,2 baños,48 m² útiles,"Avenida Manuel Rodríguez, Centro H..."
Departamento Esmeralda Id: 141524,$480.000,2 dormitorios,2 baños,60 m² útiles,"Esmeralda, Centro Histórico De San..."
Departamento Santo Domingo Id: 143272,$300.000,1 dormitorio,1 baño,32 m² útiles,"Santo Domingo, Centro Histórico De..."
Departamento Agustinas Id: 118496,UF9,1 dormitorio,1 baño,40 m² útiles,"Agustinas, Centro Histórico De San..."
Departamento San Martín Id: 119760,UF10,1 dormitorio,1 baño,45 m² útiles,"San Martín, Centro Histórico De Sa..."
Departamento Avenida Mapocho Id: 141947,$270.000,1 dormitorio,1 baño,30 m² útiles,"Avenida Mapocho, Centro Histórico ..."
Departamento Catedral Id: 23307,$310.000,1 dormitorio,1 baño,30 m² útiles,"Catedral, Centro Histórico De Sant..."
Departamento Morandé Id: 99945,$455.000,2 dormitorios,2 baños,52 m² útiles,"Morandé, Centro Histórico De Santi..."
Departamento En Arriendo De 2 Dorm. Code 914 En Santiago,$430.000,2 dormitorios,1 baño,48 m² útiles,"Nueva Compañía 1656, Santiago, Chi..."
Departamento Santo Domingo Id: 44123,$385.000,1 dormitorio,1 baño,39 m² útiles,"Santo Domingo, Centro Histórico De..."
Departamento San Martín Id: 110916,$395.000,3 dormitorios,2 baños,52 m² útiles,"San Martín, Centro Histórico De Sa..."
Departamento Morandé Id: 113145,$400.000,2 dormitorios,2 baños,60 m² útiles,"Morandé, Centro Histórico De Santi..."
Departamento San Antonio Id: 140164,$650.000,3 dormitorios,2 baños,89 m² útiles,"San Antonio, Centro Histórico De S..."
