Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Departamento Avenida Concón Reñaca Id: 132607,$600.000,1 dormitorio,1 baño,60 m² útiles,"Avenida Concón Reñaca, Costas De M..."
Departamento Arenales Id: 137643,$684.000,2 dormitorios,1 baño,63 m² útiles,"Arenales, Costas De Montemar, Conc..."
Departamento Lecheros Id: 140877,$330.000,1 dormitorio,1 baño,25 m² útiles,"Lecheros, Cerro Larraín - Polanco,..."
Departamento Avenida Diego Portales Id: 140985,$550.000,3 dormitorios,2 baños,58 m² útiles,"Avenida Diego Portales, Los Quilla..."
Departamento Jorge Ross Id: 140542,$400.000,1 dormitorio,1 baño,45 m² útiles,"Jorge Ross, Viña Del Mar"
Departamento Froilán Roa Id: 135345,$252.000,1 dormitorio,1 baño,30 m² útiles,"Froilán Roa, La Florida"
Departamento Colombia Id: 140071,$450.000,2 dormitorios,2 baños,48 m² útiles,"Colombia, Vicente Valdés, La Flori..."
Departamento Avenida Gastón Hamel Nieto Id: 84087,$790.000,3 dormitorios,2 baños,115 m² útiles,"Avenida Gastón Hamel Nieto, Reñaca..."
Departamento Lago Pirihueico Id: 137815,$320.000,1 dormitorio,1 baño,31 m² útiles,"Lago Pirihueico, Plaza Vespucio, L..."
Departamento Irene Morales Id: 137429,$750.000,3 dormitorios,2 baños,60 m² útiles,"Irene Morales, Cerro Placeres, Val..."
Metro Hospitales Nuevo Dos Amplios Ambientes Terraza,$300.000,1 dormitorio,1 baño,31 m² útiles,"Carrión 1500 - 1800, Hospitales, I..."
Departamento Isla Picton Id: 38964,$410.000,2 dormitorios,2 baños,66 m² útiles,"Isla Picton, Viña Del Mar"
Departamento Juan De Pineda Id: 94828,$480.000,3 dormitorios,1 baño,65 m² útiles,"Juan De Pineda, Vicente Valdés, La..."
Departamento Central Id: 27952,$530.000,2 dormitorios,1 baño,41 m² útiles,"Central, Montemar, Concón"
Departamento Ignacio Carrera Pinto Id: 141912,$486.000,3 dormitorios,2 baños,66 m² útiles,"Ignacio Carrera Pinto, Centro De V..."
Departamento Viana Id: 93361,$540.000,2 dormitorios,2 baños,50 m² útiles,"Viana, Centro De Viña Del Mar, Viñ..."
Departamento Lia Aguirre Id: 125934,$175.000,1 dormitorio,1 baño,32 m² útiles,"Lia Aguirre, Plaza Vespucio, La Fl..."
Departamento Navío San Martín Id: 55384,$350.000,2 dormitorios,1 baño,52 m² útiles,"Navío San Martín, Valparaíso"
