Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Edificio Antonia (1 Est. 1 Bod.) Vista Norte Piso 7,$290.000,1 dormitorio,1 baño,31 m² útiles,"Fresia 6955, Plaza Vespucio, La Fl..."
Edificio Vicuña Urban Vista Norte Piso 16,$350.000,1 dormitorio,1 baño,31 m² útiles,"Av. Vicuña Mackenna Pte. 6650, Pla..."
Edificio Vicuña Urban Vista Poniente Piso 16,$335.000,1 dormitorio,1 baño,28 m² útiles,"Av. Vicuña Mackenna Pte. 6650, Pla..."
Edificio Lofty Vista Poniente Piso 14,$310.000,1 dormitorio,1 baño,28 m² útiles,"Av. Vicuña Mackenna Ote. 6711, Pla..."
Edificio Barcelona Vista Suroriente Piso 14,$345.000,1 dormitorio,1 baño,33 m² útiles,"Barcelona 160, Plaza Vespucio, La ..."
Edificio Activa Vicuña Mackenna Poniente Vista Norte Piso,$370.000,1 dormitorio,1 baño,34 m² útiles,"Av. Vicuña Mackenna Pte. 6315, Met..."
Edificio Activa Vicuña Mackenna Poniente Vista Norte Piso,$350.000,1 dormitorio,1 baño,34 m² útiles,"Av. Vicuña Mackenna Pte. 6315, Met..."
Edificio San Carlos Vista Sur Piso 6,$310.000,1 dormitorio,1 baño,24 m² útiles,"San Carlos De Ancud 74, Plaza Vesp..."
Edificio San Carlos Vista Norte Piso 8,$305.000,1 dormitorio,1 baño,28 m² útiles,"San Carlos De Ancud 74, Plaza Vesp..."
Edificio Lofty Vista Poniente Piso 13,$355.000,1 dormitorio,1 baño,31 m² útiles,"Av. Vicuña Mackenna Ote. 6711, Pla..."
Edificio Nueva Cuatro (1 Est. 1 Bod.) Vista Poniente Piso 9,$475.000,1 dormitorio,1 baño,59 m² útiles,"Nueva Cuatro 6277, Plaza Vespucio,..."
Edificio Torres De Vicuña Mackenna Vista Oriente Piso 13,$275.000,1 dormitorio,1 baño,22 m² útiles,"Av. Vicuña Mackenna Pte. 6456, Met..."
360.000 Dpto Arr 1d1b La Florida Metro Mirador,$350.000,1 dormitorio,1 baño,35 m² útiles,"Metro Mirador, Metro Mirador, La F..."
Edificio Mirador Azul Vista Norte Piso 3,$485.000,2 dormitorios,2 baños,59 m² útiles,"Vicuña Mackenna Poniente 6239, Met..."
Edificio Vicuña Urban Vista Oriente Piso 17,$345.000,1 dormitorio,1 baño,35 m² útiles,"Av. Vicuña Mackenna Pte. 6650, Pla..."
Edificio Vicuña Urban Vista Sur Piso 5,$405.000,2 dormitorios,1 baño,42 m² útiles,"Av. Vicuña Mackenna Pte. 6650, Pla..."
Edificio Torres De Vicuña Mackenna Vista Oriente Piso 13,$375.000,2 dormitorios,1 baño,40 m² útiles,"Av. Vicuña Mackenna Pte. 6456, Met..."
Edificio Lofty Vista Nororiente Piso 8,$530.000,2 dormitorios,2 baños,55 m² útiles,"Av. Vicuña Mackenna Ote. 6711, Pla..."
Edificio Lofty Vista Poniente Piso 14,$300.000,1 dormitorio,1 baño,27 m² útiles,"Av. Vicuña Mackenna Ote. 6711, Pla..."
Edificio Lofty Vista Nororiente Piso 6,$555.000,2 dormitorios,2 baños,55 m² útiles,"Av. Vicuña Mackenna Ote. 6711, Pla..."
Edificio Lofty Vista Surponiente Piso 8,$540.000,2 dormitorios,2 baños,55 m² útiles,"Av. Vicuña Mackenna Ote. 6711, Pla..."
Edificio Lofty Vista Oriente Piso 16,$480.000,2 dormitorios,2 baños,42 m² útiles,"Av. Vicuña Mackenna Ote. 6711, Pla..."
Edificio Mirador Azul (1 Est. 1 Bod.) Vista Sur Piso 13,$339.000,1 dormitorio,1 baño,34 m² útiles,"Vicuña Mackenna Poniente 6239, Met..."
Arriendo Departamento1dormitorio1baño. Metro Bellavista,$330.000,1 dormitorio,1 baño,40 m² útiles,"Bellavista Plaza Vespucio, Plaza V..."
Edificio Mirador Capital Vista Nororiente Piso 13,$360.000,1 dormitorio,1 baño,31 m² útiles,"Av. Vicuña Mackenna Ote. 6197, Met..."
Edificio Mirador Capital Vista Nororiente Piso 3,$360.000,1 dormitorio,1 baño,30 m² útiles,"Av. Vicuña Mackenna Ote. 6197, Met..."
Edificio Torres De Vicuña Mackenna Vista Oriente Piso 18,$330.000,1 dormitorio,1 baño,28 m² útiles,"Av. Vicuña Mackenna Pte. 6456, Met..."
Edificio Antonia Vista Oriente Piso 5,$315.000,1 dormitorio,1 baño,31 m² útiles,"Fresia 6955, Plaza Vespucio, La Fl..."
Departamento En Arriendo De 3 Dorm. En La Florida,$850.000,3 dormitorios,2 baños,85 m² útiles,Avenida Alto Macul Con Camino Del ...
Dpto 2d2b Moderno Estac Metro Vicente Valdez La Florida,$520.000,2 dormitorios,2 baños,58 m² útiles,"Vicente Valdez, Vicente Valdés, La..."
Dpto 1d 1b 1b Colombia 7584 La Florida,$340.000,1 dormitorio,1 baño,31 m² útiles,"Colombia 7584, Vicente Valdés, La ..."
Departamento En Arriendo De 2 Dorm. En La Florida,$550.000,2 dormitorios,2 baños,51 m² útiles,"Vicuña Mackenna, Rojas Magallanes,..."
Departamento A Estrenar En Arriendo De 2 Dorm. En La Florida,$650.000,2 dormitorios,1 baño,4.048 m² útiles,"Bellavista 7150, Plaza Vespucio, L..."
"Oportunidad, Metro Mirador, Depto. En Calle Pudeto",$300.000,1 dormitorio,1 baño,35 m² útiles,"Pudeto Con Barcelona, Plaza Vespuc..."
Dpto Nuevo Arriendo 1d Con Estac Y Bod 415.000 Metro Mirador,$415.000,1 dormitorio,1 baño,30 m² útiles,"Metro Mirador, La Florida"
Edificio Lia Aguirre Vista Sur Piso 6,$250.000,1 dormitorio,1 baño,16 m² útiles,"Lia Aguirre 95, Plaza Vespucio, La..."
Edificio Vicuña Mackenna Oriente Vista Poniente Piso 2,$350.000,1 dormitorio,1 baño,34 m² útiles,"Vicuña Mackenna Oriente 7492, Plaz..."
"Lindo Departamento , Calle Pudeto , Metro Mirador",$290.000,1 dormitorio,1 baño,45 m² útiles,"Vicuña Mackenna Oriente, Metro Mir..."
Departamento En Arriendo De 2 Dorm. En La Florida,$430.000,2 dormitorios,2 baños,55 m² útiles,"Walker Martinez, Vicente Valdés, L..."
"50%dscto1 Mescanon1d&#43;1b,eb Opcional Lago Pirihueico La F",$290.000,1 dormitorio,1 baño,31 m² útiles,"50%dscto 1 Mescanon1d&#43;1b,eb Op..."
