Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
. (51156),$450.000,1 dormitorio,65 m² útiles,No disponible,"Lindo Depto. 1d En Ñuñoa, Estadio ..."
Departamento Nuevo En Ñuñoa (2d+2b) (56538),$680.000,2 dormitorios,2 baños,50 m² útiles,Departamento Nuevo En Ñuñoa (2d+2b...
Zañartu Y Vicuña Mackenna (52421),$430.000,2 dormitorios,1 baño,46 m² útiles,"Zañartu 980. Ñuñoa, Estadio Nacion..."
"Ubicación Perfecta, 2 Dormitorios 2 Baños (56724)",$600.000,2 dormitorios,2 baños,49 m² útiles,"Excelente Vista, 2 Dorm. 2 Baños, ..."
Linda Y Despejada Vista / Calle Tranquila (40786),$790.000,3 dormitorios,2 baños,79 m² útiles,"Calle Tranquila Y Vista Despejada,..."
Depto Dos Dormitorios (53409),$690.000,2 dormitorios,2 baños,70 m² útiles,"Hermosa Vista De Santiago, Plaza Ñ..."
Oportunidad 4d Y 3 B + Estac Y Bod (47303),$1.100.000,4 dormitorios,3 baños,No disponible,"Espectacular Vista !!!!!, Villa Fr..."
"Oportunidad, Precioso Dpto Remodelado (31115)",$750.000,2 dormitorios,1 baño,70 m² útiles,"Oportunidad, Precioso Dpto Remodel..."
Arriendo Depto | 2d2b+e+b | Metro Chile España,$830.000,2 dormitorios,2 baños,77 m² útiles,Eduardo Castillo Velasco / Exequie...
Arriendo Depto Amoblado | 3d2b+e+b | Plaza Egaña,$1.300.000,3 dormitorios,2 baños,80 m² útiles,"Mall Plaza Egaña, Plaza Egaña, Ñuñ..."
Depto 2d2b- Zañartu 2132 Ñuñoa,$430.000,2 dormitorios,2 baños,54 m² útiles,"Zañartu 2132, Estadio Nacional, Ñu..."
"Metro Ñuñoa, Hermoso, 1d+1b+t",UF13,1 dormitorio,1 baño,37 m² útiles,"Marchant Pereira 3361, Metro Ñuñoa..."
"Cercano Metro Chile España, Plaza Ñuñoa",$630.000,2 dormitorios,2 baños,57 m² útiles,"Alonso De Ercilla 3055, Plaza Ñuño..."
Departamento Excelente En Perfecto Estado Exequiel Fernández,$500.000,1 dormitorio,1 baño,6 m² útiles,"Exequiel Fernández 600 - 900, Esta..."
Moderno Y Amplio Departamento En Emilia Téllez.,$780.000,2 dormitorios,2 baños,67 m² útiles,"Avenida Ossa 1200 - 1500, Ñuñoa, C..."
"Arriendo Moderno, Amplio Y Luminoso Departamento Ñuñoa",$1.180.000,3 dormitorios,3 baños,108 m² útiles,"Av. Sucre 2362, Ñuñoa, Metro Ñuñoa..."
Arriendo Moderno Depto Full Amoblado Y Equipado Ñuñoa,$890.000,2 dormitorios,2 baños,76 m² útiles,"Av. Sucre 2362, Ñuñoa, Metro Ñuñoa..."
Lindo Depto En Ñuñoa,$430.000,1 dormitorio,1 baño,39 m² útiles,"Av. Rodrigo De Araya 1410, Estadio..."
Departamento En Arriendo A Partir De Enero 2025 Co...,$500.000,1 dormitorio,1 baño,33 m² útiles,"Ñuñoa, Plaza Ñuñoa"
"Disponibilidad Inmediata, Excelente Oportunidad.",$450.000,1 dormitorio,1 baño,40 m² útiles,"Av. Gral. Bustamante 730, Metro Ir..."
Espronceda 440 Esquina Campoamor.,$450.000,1 dormitorio,1 baño,37 m² útiles,"Espronceda 440, Ñuñoa, Plaza Ñuñoa..."
,$653.000,2 dormitorios,2 baños,53 m² útiles,Se Arrienda Moderno Departamento 2...
Deptoj.p.alessandri - Irarrazabal Frente Metro Chile España,$800.000,3 dormitorios,2 baños,81 m² útiles,"Av. José Pedro Alessandri 61, Plaz..."
"Departamento Nuevo 1 Dormitorio,finas Terminaciones",$400.000,1 dormitorio,1 baño,40 m² útiles,"Zañartu 2460, Estadio Nacional, Ñu..."
Arriendo Nuevo- Francisco Meneses/guillermo Mann-metro Ñuble,$415.000,1 dormitorio,1 baño,36 m² útiles,"Francisco Meneses 1500 - 1800, Ñuñ..."
